Iteration 55 (train) | acc1 = 99.72318 | acc2 = 99.79745 | acc3 = 99.78394 | acc4 = 99.80420 
Iteration 56 (train) | acc1 = 99.69617 | acc2 = 99.79070 | acc3 = 99.75019 | acc4 = 99.78394 
Iteration 57 (train) | acc1 = 99.72993 | acc2 = 99.78394 | acc3 = 99.81770 | acc4 = 99.81095 
Iteration 58 (train) | acc1 = 99.73668 | acc2 = 99.77719 | acc3 = 99.79070 | acc4 = 99.78394 
Iteration 59 (train) | acc1 = 99.64216 | acc2 = 99.79745 | acc3 = 99.76369 | acc4 = 99.78394 
Iteration 60 (train) | acc1 = 99.72318 | acc2 = 99.78394 | acc3 = 99.78394 | acc4 = 99.80420 
Iteration 61 (train) | acc1 = 99.68267 | acc2 = 99.77044 | acc3 = 99.78394 | acc4 = 99.77719 
Iteration 62 (train) | acc1 = 99.72318 | acc2 = 99.77044 | acc3 = 99.76369 | acc4 = 99.78394 
Iteration 63 (train) | acc1 = 99.77719 | acc2 = 99.80420 | acc3 = 99.82445 | acc4 = 99.81095 
Iteration 64 (train) | acc1 = 99.70968 | acc2 = 99.78394 | acc3 = 99.77719 | acc4 = 99.79070 
Iteration 65 (train) | acc1 = 99.70968 | acc2 = 99.78394 | acc3 = 99.79745 | acc4 = 99.79745 
Iteration 66 (train) | acc1 = 99.74343 | acc2 = 99.79745 | acc3 = 99.75694 | acc4 = 99.78394 
Iteration 67 (train) | acc1 = 99.72993 | acc2 = 99.78394 | acc3 = 99.81770 | acc4 = 99.79070 
Iteration 68 (train) | acc1 = 99.70292 | acc2 = 99.77719 | acc3 = 99.79745 | acc4 = 99.78394 
Iteration 69 (train) | acc1 = 99.73668 | acc2 = 99.77719 | acc3 = 99.81095 | acc4 = 99.81770 
Iteration 70 (train) | acc1 = 99.71643 | acc2 = 99.79745 | acc3 = 99.81095 | acc4 = 99.79070 
Iteration 71 (train) | acc1 = 99.75694 | acc2 = 99.79745 | acc3 = 99.78394 | acc4 = 99.81095 
Iteration 72 (train) | acc1 = 99.80420 | acc2 = 99.81095 | acc3 = 99.81095 | acc4 = 99.81095 
Iteration 73 (train) | acc1 = 99.74343 | acc2 = 99.79070 | acc3 = 99.78394 | acc4 = 99.79070 
Iteration 74 (train) | acc1 = 99.73668 | acc2 = 99.77719 | acc3 = 99.79070 | acc4 = 99.77719 
Iteration 75 (train) | acc1 = 99.77044 | acc2 = 99.79745 | acc3 = 99.79745 | acc4 = 99.79070 
Iteration 76 (train) | acc1 = 99.78394 | acc2 = 99.78394 | acc3 = 99.76369 | acc4 = 99.75694 
Iteration 77 (train) | acc1 = 99.71643 | acc2 = 99.77719 | acc3 = 99.79070 | acc4 = 99.77044 
Iteration 78 (train) | acc1 = 99.75019 | acc2 = 99.81095 | acc3 = 99.79745 | acc4 = 99.80420 
Iteration 79 (train) | acc1 = 99.79745 | acc2 = 99.81095 | acc3 = 99.79745 | acc4 = 99.79745 
Iteration 80 (train) | acc1 = 99.72993 | acc2 = 99.81095 | acc3 = 99.80420 | acc4 = 99.79070 
Iteration 81 (train) | acc1 = 99.76369 | acc2 = 99.78394 | acc3 = 99.80420 | acc4 = 99.78394 
Iteration 82 (train) | acc1 = 99.75694 | acc2 = 99.81770 | acc3 = 99.83796 | acc4 = 99.81095 
Iteration 83 (train) | acc1 = 99.76369 | acc2 = 99.79745 | acc3 = 99.81770 | acc4 = 99.79070 
Iteration 84 (train) | acc1 = 99.79070 | acc2 = 99.81095 | acc3 = 99.81095 | acc4 = 99.79070 
Iteration 85 (train) | acc1 = 99.78394 | acc2 = 99.79745 | acc3 = 99.79745 | acc4 = 99.79745 
Iteration 86 (train) | acc1 = 99.77044 | acc2 = 99.79070 | acc3 = 99.81095 | acc4 = 99.79070 
Iteration 87 (train) | acc1 = 99.75694 | acc2 = 99.77719 | acc3 = 99.80420 | acc4 = 99.77719 
Iteration 88 (train) | acc1 = 99.76369 | acc2 = 99.79070 | acc3 = 99.81095 | acc4 = 99.78394 
Iteration 89 (train) | acc1 = 99.77044 | acc2 = 99.79745 | acc3 = 99.78394 | acc4 = 99.79745 
Iteration 90 (train) | acc1 = 99.79745 | acc2 = 99.81095 | acc3 = 99.81095 | acc4 = 99.80420 
Iteration 91 (train) | acc1 = 99.79745 | acc2 = 99.82445 | acc3 = 99.79070 | acc4 = 99.79745 
Iteration 92 (train) | acc1 = 99.79745 | acc2 = 99.79745 | acc3 = 99.80420 | acc4 = 99.80420 
Iteration 93 (train) | acc1 = 99.76369 | acc2 = 99.79070 | acc3 = 99.80420 | acc4 = 99.78394 
Iteration 94 (train) | acc1 = 99.79745 | acc2 = 99.79745 | acc3 = 99.80420 | acc4 = 99.79070 
Iteration 95 (train) | acc1 = 99.80420 | acc2 = 99.79745 | acc3 = 99.77719 | acc4 = 99.79745 
Iteration 96 (train) | acc1 = 99.80420 | acc2 = 99.79745 | acc3 = 99.83121 | acc4 = 99.81095 
Iteration 97 (train) | acc1 = 99.74343 | acc2 = 99.77719 | acc3 = 99.79070 | acc4 = 99.77044 
Iteration 98 (train) | acc1 = 99.78394 | acc2 = 99.80420 | acc3 = 99.80420 | acc4 = 99.80420 
Iteration 99 (train) | acc1 = 99.77719 | acc2 = 99.79745 | acc3 = 99.79745 | acc4 = 99.77719 
Iteration 100 (train) | acc1 = 99.80420 | acc2 = 99.80420 | acc3 = 99.81095 | acc4 = 99.79070 
Iteration 101 (train) | acc1 = 99.82445 | acc2 = 99.82445 | acc3 = 99.81095 | acc4 = 99.83121 
Iteration 102 (train) | acc1 = 99.75694 | acc2 = 99.76369 | acc3 = 99.77719 | acc4 = 99.79745 
Iteration 103 (train) | acc1 = 99.73668 | acc2 = 99.79070 | acc3 = 99.77719 | acc4 = 99.78394 
Iteration 104 (train) | acc1 = 99.78394 | acc2 = 99.80420 | acc3 = 99.78394 | acc4 = 99.78394 
Iteration 105 (train) | acc1 = 99.79745 | acc2 = 99.79745 | acc3 = 99.78394 | acc4 = 99.78394 
Iteration 106 (train) | acc1 = 99.74343 | acc2 = 99.80420 | acc3 = 99.77044 | acc4 = 99.77044 
Iteration 107 (train) | acc1 = 99.79745 | acc2 = 99.80420 | acc3 = 99.80420 | acc4 = 99.81770 
Iteration 108 (train) | acc1 = 99.79070 | acc2 = 99.81770 | acc3 = 99.79070 | acc4 = 99.80420 
Iteration 109 (train) | acc1 = 99.77719 | acc2 = 99.81095 | acc3 = 99.78394 | acc4 = 99.79070 
Iteration 110 (train) | acc1 = 99.79745 | acc2 = 99.78394 | acc3 = 99.79745 | acc4 = 99.77719 
Iteration 111 (train) | acc1 = 99.79070 | acc2 = 99.81770 | acc3 = 99.79070 | acc4 = 99.79745 
Iteration 112 (train) | acc1 = 99.81095 | acc2 = 99.81770 | acc3 = 99.81770 | acc4 = 99.81095 
Iteration 113 (train) | acc1 = 99.79745 | acc2 = 99.82445 | acc3 = 99.81095 | acc4 = 99.80420 
